MolecularFormula,Mass,C,H,O,N,S,P,El_comp,DBE,HC,OC,NC,AI_mod,NOSC,compound_class,log_CIR
C11H12O4,207.066294020833,11,12,4,0,0,0,CHO,6.0,1.0909090909090908,0.36363636363636365,0.0,0.4444444444444444,-0.3636363636363633,CRAM,1.0872031554963217
C12H16O3,207.102676428571,12,16,3,0,0,0,CHO,5.0,1.3333333333333333,0.25,0.0,0.3333333333333333,-0.833333333333333,CRAM,1.2248168954670944
C9H8O3S,208.015502,9,8,3,0,1,0,CHOS,6.0,0.8888888888888888,0.3333333333333333,0.0,0.5384615384615384,0.0,aromatic,0.885434683743329
C9H8O5,208.033305,9,8,5,0,0,0,CHO,6.0,0.8888888888888888,0.5555555555555556,0.0,0.5384615384615384,0.22222222222222232,aromatic,0.9278817445032586
C10H11O4N,208.06152,10,11,4,1,0,0,CHON,6.0,1.1,0.4,0.1,0.5,0.0,aromatic,0.973529682497945
C11H15O3N,208.0979108,11,15,3,1,0,0,CHON,5.0,1.3636363636363635,0.2727272727272727,0.09090909090909091,0.35294117647058826,-0.5454545454545459,CRAM,1.254772309966011
C9H6O6,209.009133741935,9,6,6,0,0,0,CHO,7.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666665,condensed_aromatic,0.8384642348795162
C10H10O5,209.045547215385,10,10,5,0,0,0,CHO,6.0,1.0,0.5,0.0,0.4666666666666667,0.0,other,1.207864365579409
C11H14O4,209.081927982759,11,14,4,0,0,0,CHO,5.0,1.2727272727272727,0.36363636363636365,0.0,0.3333333333333333,-0.5454545454545459,CRAM,1.2375364888296552
C8H18O4S,209.0853515,8,18,4,0,1,0,CHOS,0.0,2.25,0.5,0.0,0.0,-1.0,carbohydrate_like,0.9248666666666667
C8H19O4P,209.0948205,8,19,4,0,0,1,CHOP,-0.5,2.375,0.5,0.0,0.0,-2.0,carbohydrate_like,0.9248666666666667
C8H6O6,210.0125175,8,6,6,0,0,0,CHO,6.0,0.75,0.75,0.0,0.6,0.75,aromatic,0.91226104685488
C9H9O5N,210.040785545455,9,9,5,1,0,0,CHON,6.0,1.0,0.5555555555555556,0.1111111111111111,0.5454545454545454,0.44444444444444464,aromatic,0.9674933730481985
C10H13O4N,210.0771709,10,13,4,1,0,0,CHON,5.0,1.3,0.4,0.1,0.35714285714285715,-0.20000000000000018,CRAM,1.2659963491646118
C10H14O4,210.085265,10,14,4,0,0,0,CHO,4.0,1.4,0.4,0.0,0.25,-0.5999999999999996,CRAM,1.2658555830905343
C9H8O6,211.024806188679,9,8,6,0,0,0,CHO,6.0,0.8888888888888888,0.6666666666666666,0.0,0.5,0.44444444444444464,aromatic,0.9514420126572939
