sample,n_formulas,mean_CIR,sd_CIR,prop_high_CIR,richness,CIR_CRAM,CIR_N_containing,CIR_aromatic,CIR_carbohydrate_like,CIR_condensed_aromatic,CIR_lipid_like,CIR_other,CIR_protein_like,prop_other,prop_CRAM,prop_lipid_like,prop_aromatic,prop_carbohydrate_like,prop_N_containing,prop_protein_like,prop_condensed_aromatic,site_id,replicate,latitude,longitude,temperature_C,river,state,country,DOC_mgL
S000036.2,3034,1.1470973531962017,0.15933036623725333,0.44528675016479896,3034,1.030010731858856,1.2199659138580894,0.8719888814706612,1.2024282315950372,0.9060651999693942,1.2845533637393414,1.2498038989881404,1.1303135779844058,0.3141067897165458,0.2811470006591958,0.08602504943968359,0.12096242584047462,0.06822676334871457,0.07317073170731707,0.02999340804218853,0.026367831245880026,S000036,2,41.38247,-82.514685,20.8,Old Woman Creek,Ohio,USA,5.006
S000036.3,3252,1.1450388805568514,0.1585303126572178,0.4388068880688807,3252,1.0272147015937634,1.2211743468471146,0.8772768789604336,1.198130816696215,0.8946995353986288,1.2821348758343216,1.2485985830840385,1.134067108971228,0.3031980319803198,0.28628536285362854,0.09071340713407135,0.11838868388683887,0.07072570725707257,0.07441574415744158,0.02982779827798278,0.026445264452644526,S000036,3,41.38247,-82.514685,20.8,Old Woman Creek,Ohio,USA,5.006
S000044.1,2729,1.1495329103688996,0.1549371458009819,0.4675705386588494,2729,1.016009406635169,1.2141315675973212,0.8705995806744528,1.2032790160683273,0.893552763859397,1.2784967372416929,1.2494470281205459,1.1248568814721505,0.3715646757053866,0.3048735800659582,0.07108831073653353,0.09563942836203737,0.06339318431659949,0.05349945034811286,0.02674972517405643,0.0131916452913155,S000044,1,46.37,-119.27,13.0,Columbia River,Washington,USA,2.756
S000044.2,3024,1.1490297373286158,0.15750208806089336,0.4662698412698413,3024,1.0121670451014468,1.2162016140534144,0.8708218533416416,1.200398876013706,0.8838558955962045,1.2904402751453914,1.2532288710873247,1.1319486891749175,0.3654100529100529,0.31316137566137564,0.06845238095238096,0.09358465608465609,0.06382275132275132,0.05489417989417989,0.027447089947089946,0.013227513227513227,S000044,2,46.37,-119.27,13.0,Columbia River,Washington,USA,2.756
S000044.3,2885,1.1492101119168792,0.1558174312910805,0.4714038128249567,2885,1.0139973499492945,1.214587400287679,0.8671658577894262,1.2095480096501272,0.8984436996408396,1.2838371035782083,1.2513752042350337,1.126448583956288,0.3722703639514731,0.31403812824956673,0.06655112651646447,0.09324090121317158,0.0610051993067591,0.05580589254766031,0.02634315424610052,0.01074523396880416,S000044,3,46.37,-119.27,13.0,Columbia River,Washington,USA,2.756
S000045.1,3145,1.1502966914914992,0.1562225954871851,0.4642289348171701,3145,1.0163325883624899,1.2143046047791135,0.8710437524529242,1.1990393510817026,0.8846016389507517,1.2809690471236486,1.2521564945247865,1.1247788901932967,0.3589825119236884,0.312241653418124,0.07344992050874403,0.09252782193958664,0.06422893481717011,0.05659777424483307,0.028298887122416534,0.013672496025437202,S000045,1,46.373014,-119.272266,15.0,Columbia River,Washington,USA,2.516
S000045.2,3073,1.1487119194053792,0.1568083370789027,0.46697038724373574,3073,1.0117324029734398,1.2159594380581398,0.8707630172923667,1.2092039460510182,0.8827713600516566,1.2862527841642688,1.252998271837031,1.124254308534823,0.3625122030589001,0.31727953140253823,0.06768630003254149,0.08948909860071591,0.06475756589651806,0.05597136348844777,0.027009437032216074,0.015294500488122356,S000045,2,46.373014,-119.272266,15.0,Columbia River,Washington,USA,2.516
S000045.3,3118,1.1501185051366667,0.1567933241394159,0.4666452854393842,3118,1.0120887436139654,1.2154279709436577,0.8690442535923829,1.2044185050463565,0.9007188865235165,1.2815285956003808,1.253029048333788,1.1310314655499083,0.3617703656189865,0.31462475946119306,0.07023733162283514,0.09429121231558692,0.06446440025657472,0.055163566388710714,0.028223220012828735,0.011225144323284156,S000045,3,46.373014,-119.272266,15.0,Columbia River,Washington,USA,2.516
S000054.2,2983,1.153417028657866,0.1556218726801584,0.47536037546094534,2983,1.0141890473944415,1.2139739583574687,0.8705941677616831,1.2026847893030053,0.892000618505396,1.2772145279741172,1.2518228278760206,1.1215195546231642,0.37210861548776397,0.29165269862554477,0.07006369426751592,0.09017767348307074,0.07609788803218237,0.05363727790814616,0.029165269862554476,0.01709688233322159,S000054,2,46.373104,-119.272205,14.5,Columbia River,Washington,USA,2.471
S000054.3,3050,1.1508667039306215,0.1563265408291324,0.4659016393442623,3050,1.014100669114019,1.2164741270641253,0.8708469035622067,1.2043083548883886,0.8750579864735262,1.27779008515124,1.2519339034164128,1.1242342128431657,0.3557377049180328,0.30655737704918035,0.07836065573770491,0.09344262295081968,0.06688524590163934,0.0580327868852459,0.028524590163934428,0.012459016393442624,S000054,3,46.373104,-119.272205,14.5,Columbia River,Washington,USA,2.471
S000054.4,3037,1.1532592811979763,0.1556697337015022,0.48337174843595654,3037,1.019631499642649,1.2139342332654224,0.8700062544475818,1.2035277906269517,0.9006653074417441,1.28667762576318,1.2521705680011526,1.1319382518385577,0.3710898913401383,0.28580836351662825,0.0675008231807705,0.09219624629568653,0.08133026012512348,0.05498847546921304,0.02765887388870596,0.019427066183733948,S000054,4,46.373104,-119.272205,14.5,Columbia River,Washington,USA,2.471
S000055.1,2873,1.151502260526458,0.1556887960034031,0.4775495997215454,2873,1.0132513580527147,1.2132100764687517,0.8660782436565615,1.1959963771636553,0.8902837614854708,1.2739051563004513,1.2515595074534718,1.1268697478209246,0.3508527671423599,0.29759832927253743,0.10163592064044552,0.08249216846501914,0.0776192133658197,0.05151409676296554,0.02610511660285416,0.012182387747998607,S000055,1,46.373073,-119.272254,15.0,Columbia River,Washington,USA,2.423
S000055.2,563,1.1608209296783905,0.13873264958476345,0.47424511545293074,563,1.0418622860981552,1.2232613541739767,0.8603112228843534,1.1668108695490942,0.8771336541231559,1.2797827762820349,1.2381107535259341,1.1685745572170914,0.48134991119005327,0.35346358792184723,0.08170515097690942,0.03197158081705151,0.02664298401420959,0.008880994671403197,0.007104795737122558,0.008880994671403197,S000055,2,46.373073,-119.272254,15.0,Columbia River,Washington,USA,2.423
S000055.3,647,1.1671792861143517,0.1389699423710517,0.4899536321483771,647,1.0402651283229762,1.1894343401772698,0.8650854549446334,1.194983452154207,0.8238957941462043,1.2742683355782136,1.2390990365366932,1.1692777353820916,0.4868624420401855,0.31993817619783615,0.08500772797527048,0.04327666151468315,0.0401854714064915,0.00463678516228748,0.015455950540958269,0.00463678516228748,S000055,3,46.373073,-119.272254,15.0,Columbia River,Washington,USA,2.423
